Number,T.celsius,Linf.cm,Winf.g,K,M
1,10,226,13820000,0.05,0.05
2,7,280,166800,0.11,0.18
3,8,178,36000,0.05,0.01
4,10,350,96680,0.04,0.05
5,22,300,170000,0.06,0.03
6,23,20.6,141,0.74,1
7,13,37.7,863,0.24,0.5
8,11,30,200,0.38,0.25
9,8,36,350,0.21,0.16
10,8,19.4,55,0.4,0.35
11,9,27.7,160,0.48,0.36
12,12,29.5,193,0.39,0.2
13,12,38.5,525,0.19,0.2
14,10,27,209,0.48,0.5
15,27,21,66,0.6,1.12
16,27,20.7,63,0.53,0.67
17,15,29.3,337,0.45,0.4
18,15,30,225,0.35,0.45
19,15,27,209,0.9,0.5
20,8,14.9,23,1.02,0.53
21,9,14.4,20.4,0.3,0.7
22,27,8.9,6,2.66,5.2
23,24,18,56,1.99,2.4
24,16,23.2,212,0.27,1.42
25,16,17.3,50,0.71,0.9
26,15,14.9,24,1.13,1.8
27,20,17.7,36,1.8,1.63
28,15,16.4,21,0.45,1.7
29,16,17,37,1.4,1
30,16,15,24,1.7,1.52
31,5,58.3,2826,0.09,0.15
32,5,70,6215,0.08,0.17
33,5,61,4200,0.26,1.35
34,5,14,27,0.43,1.3
35,8,19,70,0.65,1.1
36,8,21,95,0.36,1.2
37,8,39,600,0.27,0.35
38,5,38,550,0.4,0.6
39,5,36.8,500,0.27,0.31
40,9,30,300,0.36,0.94
41,7,80,5000,0.1,0.17
42,16,11.5,15,1.65,2.45
43,11,19.5,60,0.48,1.3
44,9,100,8810,0.22,0.26
45,9,75,3288,0.24,0.24
46,17,69.5,2350,0.29,0.46
47,7,8.5,5.6,0.36,1.75
48,7,8.6,5.7,0.45,0.74
49,15,9,6.6,0.32,0.73
50,8,42,1593,0.23,0.17
51,9,9.1,8.2,0.58,1.1
52,12,26.3,158,0.47,0.9
53,12,16.8,59.4,1.37,1.1
54,5,134,24000,0.1,0.1
55,6,115,15000,0.1,0.1
56,7,103,11000,0.15,0.33
57,8,115,16350,0.19,0.17
58,6,116,11720,0.11,0.2
59,8,67,3000,0.28,0.18
60,8,132,20000,0.2,0.2
61,5,112,10834,0.15,0.31
62,6,100,8158,0.2,0.44
63,5,73,2150,0.28,0.2
64,5,128,20077,0.13,0.3
65,6,107,11634,0.19,0.15
66,5,120,16514,0.15,0.3
67,9,19.3,48,0.59,1.6
68,9,19,45,0.44,1.6
69,20,32.7,255,0.35,0.84
70,14,102,5830,0.12,0.37
71,15,60,1577,0.1,0.5
72,15,44,622,0.13,0.6
73,12,61,1272,0.3,0.56
74,12,36.6,189,0.42,1.6
75,10,6.7,1.8,0.64,0.9
76,10,4.3,0.4,1.6,1.1
77,15,7.3,4,0.48,1.8
78,15,6.3,2.5,1.12,2.6
79,20,49.8,2450,0.39,0.31
80,9,6.5,4.3,0.4,0.8
81,9,6.5,4.3,0.9,1.1
82,9,7.2,6.1,0.4,0.9
83,9,7.2,5.9,0.7,1.1
84,27,34,640,0.63,0.55
85,10,71.4,6860,0.14,0.1
86,27,52,1880,0.24,0.68
87,27,90,12900,0.09,0.24
88,27,86,8330,0.18,0.42
89,6,30,435,0.2,0.29
90,6,34,633,0.13,0.16
91,5,40,615,0.13,0.44
92,27,57,2490,0.24,1.51
93,30,51.2,1188,0.28,0.99
94,27,64.5,4000,0.3,0.83
95,27,67,4500,0.65,1.9
96,27,63,3800,0.18,0.54
97,27,60,3200,0.7,2.24
98,27,53,1890,0.35,1.83
99,27,96.7,11664,0.1,0.37
100,27,69,3600,0.25,0.62
101,28,14,64,1.04,1.8
103,28,28.9,240,0.7,1.62
102,28,31,300,0.44,1.12
104,28,27.8,215,0.51,0.88
105,18,19.5,255,0.46,1.88
106,28,28.4,230,0.36,1.14
107,28,24.5,210,0.42,1.73
108,28,19.5,75,0.63,1.08
109,28,27.3,200,0.99,1.63
110,28,29,245,0.28,1.03
111,28,29.5,257,0.5,1.05
112,28,28.5,230,0.44,0.41
113,28,31.5,406,0.45,0.53
114,27,75,5300,0.2,0.79
115,27,48,1360,0.35,1.77
116,18,62,1466,0.12,0.4
117,27,128,17826,0.3,0.3
118,24,146,27900,0.13,0.3
119,27,122,17400,0.32,0.8
120,26,46.7,715,0.27,0.34
121,27,53.5,2916,0.16,0.2
122,27,35.7,520,0.4,1.7
123,27,34.2,360,0.4,1.73
124,27,31,360,0.7,1.89
125,26,19.6,111,0.67,1.45
126,26,18.4,74,0.55,0.92
127,26,20.2,122,0.57,1.69
128,26,20.8,132,0.49,1.2
129,25,36.5,750,0.28,1.75
130,14,47.7,1390,0.28,0.08
131,16,48.4,2178,0.11,0.36
132,17,17,54,0.3,0.9
133,11,21.8,32.1,0.89,1.24
134,11,16.6,15,0.77,1.29
135,12,17.5,27,0.55,0.86
136,12,25,78,0.43,0.96
137,10,8.9,4,0.92,3.3
138,8,50,1358,0.12,0.23
139,6,46,1081,0.13,0.27
140,5,40,800,0.14,0.19
141,25,113,32300,0.42,1.68
142,25,77,10130,0.58,0.65
143,15,40,810,0.4,0.9
144,28,23.9,160,2.76,4.44
145,27,23.9,154,4.92,7.8
146,28,20.9,110,3.38,7.22
147,28,20.9,84,4.2,4.2
148,28,22.9,205,2.28,4.56
149,25,151,58760,0.14,0.23
150,25,143,5150,0.18,0.2
151,25,205,144400,0.45,0.8
152,25,244,199000,0.24,0.9
153,25,182,98970,0.63,0.77
154,26,210,137500,0.42,0.8
155,26,83,9760,0.33,0.67
156,25,144,36900,0.17,0.22
157,26,235,185660,0.15,0.2
158,9,58.6,3970,0.17,0.2
159,9,49,4566,0.16,0.25
160,11,59,2058,0.08,0.22
161,11,42.6,692,0.1,0.3
162,14,65,2846,0.09,0.23
163,14,55.3,1657,0.1,0.25
164,15,60,2177,0.07,0.18
165,15,50,1241,0.09,0.27
166,7,71,3823,0.1,0.18
167,7,58.8,2035,0.12,0.26
168,10,50,1183,0.34,0.15
169,8,42.6,1040,0.34,0.18
170,5,44,1380,0.4,0.4
171,7,70,3430,0.08,0.12
172,7,45,910,0.15,0.22
173,7,37.7,482,0.42,0.25
174,27,31.7,170,0.24,0.49
175,27,45,2920,0.57,2.61
