"lme","mask_id","name","cells","int200","int_bw","dint"
1,160,"East Bering Sea",187,-0.938,-0.592,0.346
2,104,"Gulf of Alaska",210,-1.282,-0.725,0.557
3,110,"California Current",216,-1.639,-1.1,0.539
4,120,"Gulf of California",22,-1.247,-0.704,0.543
5,121,"Gulf of Mexico",137,-1.625,-1.312,0.313
8,109,"Scotian Shelf",33,-0.73,-0.416,0.314
9,105,"Labrador - Newfoundland",113,-0.937,-0.506,0.431
10,124,"Insular Pacific-Hawaiian",86,-2.92,-2.648,0.273
12,125,"Caribbean Sea",275,-2.653,-2.294,0.359
13,136,"Humboldt Current",252,-1.451,-0.865,0.586
14,145,"Patagonian Shelf",135,-0.673,-0.486,0.187
15,143,"South Brazil Shelf",52,-1.642,-1.312,0.33
16,135,"East Brazil Shelf",91,-3.027,-2.758,0.269
17,131,"North Brazil Shelf",83,-2.56,-2.315,0.245
19,152,"Greenland Sea",352,-1.514,-0.905,0.609
20,154,"Barents Sea",678,-1.37,-0.876,0.494
21,153,"Norwegian Sea",231,-1.493,-0.919,0.574
22,103,"North Sea",103,-0.55,-0.376,0.174
23,101,"Baltic Sea",62,-0.384,-0.263,0.121
24,106,"Celtic-Biscay Shelf",103,-0.889,-0.711,0.178
25,114,"Iberian Coastal",36,-1.399,-0.951,0.448
26,113,"Mediterranean Sea",257,-1.127,-0.622,0.505
27,117,"Canary Current",101,-1.335,-0.812,0.523
28,132,"Guinea Current",157,-1.858,-1.295,0.564
29,137,"Benguela Current",135,-1.378,-0.76,0.618
30,140,"Agulhas Current",231,-2.379,-2.025,0.355
31,133,"Somali Coastal Current",68,-2.241,-1.816,0.424
33,123,"Red Sea",41,-2.101,-1.86,0.241
34,127,"Bay of Bengal",305,-1.908,-1.415,0.492
35,130,"Gulf of Thailand",31,-0.55,-0.506,0.045
36,126,"South China Sea",266,-1.272,-0.854,0.418
37,129,"Sulu-Celebes Sea",82,-2.321,-1.914,0.407
38,134,"Indonesian Sea",181,-1.698,-1.348,0.35
39,138,"North Australian Shelf",66,-0.825,-0.789,0.036
40,139,"Northeast Australian Shelf",109,-2.585,-2.295,0.29
41,142,"East Central Australian Shelf",60,-2.003,-1.596,0.407
42,146,"Southeast Australian Shelf",124,-1.299,-0.96,0.34
43,148,"South West Australian Shelf",102,-1.683,-1.429,0.254
44,149,"West Central Australian Shelf",51,-2.279,-2.041,0.238
45,141,"Northwest Australian Shelf",76,-1.798,-1.557,0.241
46,144,"New Zealand Shelf",100,-1.503,-1.163,0.341
47,118,"East China Sea",77,-1.121,-0.924,0.197
48,116,"Yellow Sea",48,-0.039,-0.009,0.031
49,115,"Kuroshio Current",124,-1.952,-1.572,0.38
50,107,"Sea of Japan",102,-1.032,-0.528,0.504
51,108,"Oyashio Current",61,-1.079,-0.584,0.495
52,102,"Sea of Okhotsk",213,-1.011,-0.475,0.536
53,158,"West Bering Sea",114,-1.274,-0.687,0.587
54,166,"Northern Bering - Chukchi Seas",342,-1.035,-0.655,0.38
55,163,"Beaufort Sea",296,-1.527,-0.976,0.551
56,157,"East Siberian Sea",189,-1.062,-0.733,0.33
57,156,"Laptev Sea",297,-0.52,-0.212,0.308
58,155,"Kara Sea",350,-0.951,-0.586,0.365
59,151,"Iceland Shelf and Sea",103,-1.375,-0.812,0.563
60,150,"Faroe Plateau",19,-1.202,-0.729,0.473
61,147,"Antarctica",1306,-1.423,-0.732,0.691
62,111,"Black Sea",50,-1.117,-0.625,0.492
63,162,"Hudson Bay Complex",214,-1.033,-0.883,0.15
64,165,"Central Arctic",3170,-2.117,-1.308,0.81
65,159,"Aleutian Islands",30,-1.029,-0.574,0.455
121,21,"",438,-1.37,-0.859,0.511
127,27,"",835,-1.499,-1.037,0.462
131,31,"",815,-2.98,-2.696,0.283
134,34,"",930,-2.372,-1.92,0.452
141,41,"",1441,-2.228,-1.862,0.366
147,47,"",1586,-1.857,-1.467,0.389
151,51,"",1989,-2.358,-1.971,0.387
157,57,"",2344,-2.139,-1.79,0.349
158,58,"",1817,-1.617,-1.243,0.374
161,61,"",1295,-2.168,-1.794,0.374
167,67,"",549,-1.452,-0.99,0.463
171,71,"",2075,-2.658,-2.281,0.377
177,77,"",3725,-2.246,-1.819,0.427
181,81,"",2890,-2.123,-1.796,0.327
187,87,"",2676,-2.064,-1.663,0.4
6,119,"Southeast U.S. Continental Shelf",30,-1.64,-1.411,0.229
7,112,"Northeast U.S. Continental Shelf",36,-0.588,-0.339,0.249
11,128,"Pacific Central-American Coastal",158,-1.681,-1.115,0.566
18,161,"Canadian Eastern Arctic - West Greenland",329,-1.311,-0.742,0.569
66,164,"Canadian High Arctic - North Greenland",305,-1.784,-1.012,0.772
32,122,"Arabian Sea",331,NA,NA,0
148,48,"Atlantic Antarctic",1811,NA,NA,0
188,88,"Pacific Antarctic",1683,NA,NA,0
