"lme","dint","dslope"
1,0.696,0.0279
2,0.742,0.0172
3,0.743,0.0175
4,0.505,0.0101
5,1.24,0.0661
8,0.352,0.0095
9,0.675,0.0265
10,0.549,0.0207
12,1.066,0.0477
13,0.808,0.0146
14,0.428,0.02
15,0.755,0.0323
16,0.911,0.0283
17,1.219,0.0536
19,1.565,0.0492
20,1.654,0.0576
21,1.311,0.0556
22,0.754,0.0464
23,0.613,0.0402
24,0.616,0.0323
25,0.606,0.0157
26,0.607,0.0139
27,0.717,0.0202
28,1.09,0.0425
29,0.802,0.0177
30,0.788,0.0266
31,0.754,0.0328
33,0.576,0.0197
34,0.836,0.025
35,-0.033,-0.0048
36,0.536,0.0167
37,0.579,0.0182
38,1.019,0.0539
39,0.361,0.0227
40,0.62,0.023
41,0.811,0.0319
42,0.583,0.0177
43,0.604,0.0238
44,0.658,0.0318
45,0.854,0.0417
46,0.796,0.0316
47,0.659,0.031
48,0.225,0.0148
49,0.876,0.0349
50,0.615,0.0144
51,0.602,0.0142
52,0.906,0.0423
53,0.949,0.0417
54,1.556,0.0656
55,2.13,0.071
56,1.747,0.0679
57,1.978,0.0936
58,1.881,0.0726
59,1.325,0.0552
60,1.261,0.0739
61,1.976,0.0871
62,0.719,0.0206
63,0.997,0.0554
64,1.702,0.0126
65,0.588,0.0095
121,0.692,0.02
127,0.749,0.0276
131,1.069,0.0535
134,0.7,0.0264
141,1.132,0.0579
147,0.82,0.0341
151,0.883,0.0379
157,0.785,0.0338
158,0.777,0.0339
161,1.078,0.0541
167,0.566,0.0052
171,0.922,0.0358
177,0.754,0.0289
181,0.878,0.0404
187,0.844,0.0373
6,1.088,0
7,0.363,0
11,0.709,0
18,1.48,0
66,1.947,0
32,1.165,0
148,1.085,0
188,1.161,0
