lme,mask_id,t_surf,t_exp,offset
1,160,4.315,3.794,-0.521
2,104,9.020,8.186,-0.834
3,110,16.677,15.421,-1.256
4,120,24.284,21.620,-2.663
5,121,25.789,24.505,-1.284
8,109,8.552,6.870,-1.683
9,105,5.289,3.896,-1.394
10,124,24.736,23.250,-1.486
12,125,28.105,27.355,-0.750
13,136,15.932,14.761,-1.170
14,145,10.501,9.493,-1.008
15,143,23.952,22.832,-1.120
16,135,27.667,26.405,-1.262
17,131,28.636,27.810,-0.826
19,152,0.779,1.047,0.268
20,154,0.739,1.204,0.466
21,153,5.641,5.004,-0.637
22,103,9.309,8.871,-0.438
23,101,7.454,6.634,-0.821
24,106,12.155,11.703,-0.452
25,114,16.525,15.256,-1.269
26,113,20.096,18.305,-1.791
27,117,22.449,21.307,-1.142
28,132,28.324,25.180,-3.144
29,137,21.109,19.422,-1.687
30,140,25.888,24.158,-1.731
31,133,27.806,26.464,-1.342
33,123,28.664,27.303,-1.362
34,127,28.975,28.099,-0.875
35,130,29.370,29.310,-0.060
36,126,28.513,27.832,-0.680
37,129,29.575,28.676,-0.899
38,134,29.510,29.020,-0.490
39,138,28.509,28.337,-0.172
40,139,27.107,26.322,-0.784
41,142,23.456,22.395,-1.061
42,146,15.131,14.315,-0.816
43,148,17.586,16.742,-0.844
44,149,22.258,21.459,-0.799
45,141,27.954,27.116,-0.838
46,144,15.124,13.734,-1.390
47,118,21.883,20.670,-1.213
48,116,13.517,13.120,-0.397
49,115,22.921,19.979,-2.942
50,107,12.944,9.795,-3.149
51,108,7.552,5.659,-1.893
52,102,3.960,2.501,-1.459
53,158,4.911,3.875,-1.035
54,166,-0.248,-0.021,0.227
55,163,-0.842,-0.823,0.019
56,157,-1.171,-1.023,0.148
57,156,-0.828,-0.541,0.287
58,155,-0.702,-0.583,0.119
59,151,2.767,2.488,-0.279
60,150,7.312,6.770,-0.543
61,147,-1.398,-1.406,-0.008
62,111,16.099,13.549,-2.549
63,162,0.814,0.144,-0.670
64,165,-1.648,-1.633,0.015
65,159,5.668,5.011,-0.657
121,21,13.976,12.560,-1.416
127,27,13.297,12.041,-1.256
131,31,25.807,23.378,-2.429
134,34,25.700,23.281,-2.419
141,41,19.611,15.381,-4.230
147,47,18.258,15.572,-2.686
151,51,23.766,20.653,-3.113
157,57,18.913,14.338,-4.575
158,58,1.944,2.240,0.296
161,61,20.022,15.401,-4.621
167,67,10.050,8.820,-1.231
171,71,28.593,27.978,-0.616
177,77,25.386,23.998,-1.388
181,81,14.505,11.547,-2.958
187,87,18.716,16.338,-2.378
